language,typology,PMI,DD
English,SVO,1.2984887594691363,11
English,SVO,3.4248277010010058,2
English,SVO,3.7694826647219957,6
English,SVO,2.327261785152216,1
English,SVO,4.810450718842357,1
English,SVO,0.06061411460537951,1
English,SVO,1.2399087338673718,7
English,SVO,3.8713490254371417,1
English,SVO,5.9919757169684615,1
English,SVO,1.5949039721015539,1
English,SVO,4.087792713723435,1
English,SVO,4.144683423390101,2
English,SVO,0.06061411460537951,2
English,SVO,-0.18449086861516356,12
English,SVO,3.384937671047567,1
English,SVO,1.159328776001,3
English,SVO,2.515473598626442,1
English,SVO,4.330197619196475,1
English,SVO,1.9909546390313972,1
English,SVO,11.13755254125408,1
English,SVO,7.008778501220685,1
English,SVO,1.3315619225858417,5
English,SVO,7.008778501220685,1
English,SVO,1.886689193766235,1
English,SVO,0.8399959583181934,1
English,SVO,3.7343774124100717,4
English,SVO,1.3085424241330592,5
English,SVO,7.412659779388447,1
English,SVO,0.04858258012961083,11
English,SVO,4.05693347605102,2
English,SVO,4.168832422547734,1
English,SVO,11.13755254125408,1
English,SVO,2.6849646986640616,2
English,SVO,10.053376261632605,1
English,SVO,3.974471315859047,2
English,SVO,3.3974178371047294,1
English,SVO,2.8796991253291844,1
English,SVO,0.7665261724137772,1
English,SVO,2.6503874014161366,4
English,SVO,2.253989044865191,1
English,SVO,0.7665261724137772,1
English,SVO,3.5935599475321665,1
English,SVO,2.281567456621278,1
English,SVO,3.674951812633638,1
English,SVO,5.07348512467615,1
English,SVO,5.901850570692691,1
English,SVO,3.527429966634522,1
English,SVO,3.9910030358928537,1
English,SVO,7.412659779388447,1
English,SVO,2.4343504751195124,2
English,SVO,6.19679550885696,1
English,SVO,-0.5164628397956615,1
English,SVO,3.4248277010010058,2
English,SVO,3.0319737849003805,12
English,SVO,1.7903207992940036,1
English,SVO,-0.1951263883692007,2
English,SVO,0.3147869919221355,1
English,SVO,0.2834355441875894,7
English,SVO,3.620262111328314,1
English,SVO,0.49808900300397857,1
English,SVO,2.509656176527904,1
English,SVO,1.2216579092941604,1
English,SVO,1.7903207992940036,1
English,SVO,-3.2248583416397203,2
English,SVO,2.2133235958072937,2
English,SVO,0.8631275062320067,3
English,SVO,3.9823803378258855,1
English,SVO,3.384985019846583,1
English,SVO,4.330197619196475,1
English,SVO,0.43147370244634436,16
English,SVO,0.43147370244634436,10
English,SVO,4.060382849827159,1
English,SVO,1.3688486849079584,1
English,SVO,5.4774025441387035,1
English,SVO,2.1759074483695446,1
English,SVO,3.620262111328314,2
English,SVO,4.102661894584067,1
English,SVO,-1.4105810015183016,5
English,SVO,2.1100110007012645,1
English,SVO,4.767500230072597,1
English,SVO,2.255585916062293,1
English,SVO,-0.6479568852597295,3
English,SVO,3.1343834312709355,1
English,SVO,4.216845591462908,1
English,SVO,1.2216579092941604,1
English,SVO,-1.076937933259227,7
English,SVO,2.687054047386789,7
English,SVO,4.412659779388447,1
English,SVO,0.20355980047054953,2
English,SVO,3.8548930894553686,1
English,SVO,2.0677452258404787,1
English,SVO,3.6386634542772742,1
English,SVO,2.12762663877277,2
English,SVO,2.1932761079243375,1
English,SVO,2.3225591248693043,1
English,SVO,2.5393912637274396,1
English,SVO,11.13755254125408,1
English,SVO,2.356905445694458,2
English,SVO,3.4248277010010058,4
English,SVO,5.0874247176762735,1
English,SVO,3.2300632056197105,1
English,SVO,0.8307060285396294,1
English,SVO,3.13451302435801,2
